last_changed,sensor.device_f0f5bd06f5a0_aqi_sciosense,sensor.device_f0f5bd06f5a0_eco2,sensor.device_f0f5bd06f5a0_humidity,sensor.device_f0f5bd06f5a0_sound,sensor.device_f0f5bd06f5a0_temperature,sensor.device_f0f5bd06f5a0_tvoc,sensor.fteg,sensor.radar_sensor
2024-12-13T17:42:39,180.0,1270.0,31.36,493.79125,24.62,1494.0,180.42,1.0
2024-12-13T17:42:40,179.0,1267.0,31.36,568.8138461538462,24.62,1485.0,181.36,1.0
2024-12-13T17:42:41,179.0,1267.0,31.34,554.6324999999999,24.62,1485.0,182.36,1.0
2024-12-13T17:42:42,182.0,1274.0,31.34,584.9208333333333,24.62,1506.0,180.36,1.0
2024-12-13T17:42:43,182.0,1274.0,31.34,651.6716666666666,24.62,1506.0,176.12,1.0
2024-12-13T17:42:44,178.0,1264.0,31.38,653.4378571428571,24.62,1475.0,175.06,1.0
2024-12-13T17:42:45,178.0,1264.0,31.38,725.8514285714285,24.62,1475.0,168.69,1.0
2024-12-13T17:42:46,181.0,1271.0,31.36,548.8636363636364,24.62,1497.0,162.2,1.0
2024-12-13T17:42:47,181.0,1271.0,31.4,606.4454545454545,24.62,1497.0,162.2,1.0
2024-12-13T17:42:48,181.0,1271.0,31.4,487.04375,24.62,1497.0,150.75,1.0
2024-12-13T17:42:49,175.0,1258.0,31.4,579.3340000000001,24.62,1457.0,150.75,0.0
2024-12-13T17:42:50,175.0,1258.0,31.4,510.71416666666664,24.62,1457.0,132.9,1.0
2024-12-13T17:42:51,181.0,1271.0,31.4,543.311,24.62,1497.0,132.9,1.0
2024-12-13T17:42:52,181.0,1271.0,31.38,743.3075,24.62,1497.0,123.26,1.0
2024-12-13T17:42:53,177.0,1261.0,31.38,557.29,24.62,1466.0,114.08,1.0
2024-12-13T17:42:54,177.0,1261.0,31.4,507.5122222222222,24.64,1466.0,106.41,1.0
2024-12-13T17:42:55,172.0,1249.0,31.4,590.0372727272727,24.64,1429.0,99.79,1.0
2024-12-13T17:42:56,172.0,1249.0,31.4,546.1044444444444,24.62,1429.0,95.17,1.0
2024-12-13T17:42:57,174.0,1250.0,31.4,580.8477777777778,24.62,1433.0,93.36,1.0
2024-12-13T17:42:58,174.0,1250.0,31.42,470.5490909090909,24.62,1433.0,89.12,1.0
2024-12-13T17:42:59,171.0,1242.0,31.42,645.011,24.62,1408.0,86.5,1.0
2024-12-13T17:43:00,171.0,1242.0,31.42,641.86875,24.62,1408.0,86.75,0.0
2024-12-13T17:43:01,171.0,1242.0,31.42,600.6344444444444,24.61,1408.0,88.25,2.0
2024-12-13T17:43:02,173.0,1245.0,31.42,597.8577777777778,24.61,1417.0,83.19,2.0
2024-12-13T17:43:03,173.0,1245.0,31.42,757.3489999999999,24.61,1417.0,74.08,2.0
2024-12-13T17:43:04,169.0,1234.0,31.42,500.44000000000005,24.61,1383.0,74.08,2.0
2024-12-13T17:43:05,169.0,1234.0,31.4,631.4485714285714,24.61,1383.0,78.01,2.0
2024-12-13T17:43:06,171.0,1238.0,31.4,596.1577777777778,24.61,1396.0,97.98,2.0
2024-12-13T17:43:07,171.0,1238.0,31.4,605.45,24.62,1396.0,110.65,0.0
2024-12-13T17:43:08,170.0,1235.0,31.4,487.707,24.62,1386.0,111.34,2.0
2024-12-13T17:43:09,170.0,1235.0,31.38,596.54,24.62,1386.0,109.15,2.0
2024-12-13T17:43:10,175.0,1248.0,31.38,553.869,24.62,1426.0,105.41,0.0
2024-12-13T17:43:11,175.0,1248.0,31.34,670.7057142857142,24.61,1426.0,99.48,2.0
2024-12-13T17:43:12,177.0,1255.0,31.34,635.1430769230769,24.61,1448.0,101.23,2.0
2024-12-13T17:43:13,177.0,1255.0,31.24,689.3688888888888,24.61,1448.0,99.92,2.0
2024-12-13T17:43:14,179.0,1261.0,31.24,450.0725,24.61,1466.0,95.74,2.0
2024-12-13T17:43:15,179.0,1261.0,31.24,768.63,24.61,1466.0,88.37,2.0
2024-12-13T17:43:16,179.0,1261.0,31.28,597.86,24.62,1466.0,79.51,2.0
2024-12-13T17:43:17,176.0,1257.0,31.26,632.2292307692308,24.62,1454.0,69.77,2.0
2024-12-13T17:43:18,176.0,1257.0,31.26,553.1642857142857,24.62,1454.0,73.89,2.0
2024-12-13T17:43:19,173.0,1251.0,31.26,590.6055555555555,24.62,1436.0,72.21,2.0
2024-12-13T17:43:20,173.0,1251.0,31.21,666.7141666666666,24.61,1436.0,72.21,2.0
2024-12-13T17:43:21,174.0,1253.0,31.21,558.0575,24.61,1442.0,68.15,2.0
2024-12-13T17:43:22,174.0,1253.0,31.26,701.5840000000001,24.62,1442.0,63.34,2.0
2024-12-13T17:43:23,177.0,1260.0,31.26,718.7707142857143,24.62,1463.0,57.98,2.0
2024-12-13T17:43:24,177.0,1260.0,31.27,494.7077777777778,24.59,1463.0,53.98,2.0
2024-12-13T17:43:25,178.0,1263.0,31.27,627.18,24.59,1472.0,50.3,2.0
2024-12-13T17:43:26,178.0,1263.0,31.24,630.988,24.61,1472.0,42.94,2.0
2024-12-13T17:43:27,176.0,1258.0,31.24,491.65500000000003,24.61,1457.0,33.51,2.0
2024-12-13T17:43:28,176.0,1258.0,31.24,402.93199999999996,24.61,1457.0,31.64,2.0
