last_changed,aqi_sciosense,eco2,humidity,sound,temperature,tvoc,fteg,radar_sensor,occupancy
2024-12-13T17:42:39,180,1270,31.36,493.79125,24.62,1494,180.42,1,1
2024-12-13T17:42:40,179,1267,31.36,568.8138462,24.62,1485,181.36,1,1
2024-12-13T17:42:41,179,1267,31.34,554.6325,24.62,1485,182.36,1,1
2024-12-13T17:42:42,182,1274,31.34,584.9208333,24.62,1506,180.36,1,1
2024-12-13T17:42:43,182,1274,31.34,651.6716667,24.62,1506,176.12,1,1
2024-12-13T17:42:44,178,1264,31.38,653.4378571,24.62,1475,175.06,1,1
2024-12-13T17:42:45,178,1264,31.38,725.8514286,24.62,1475,168.69,1,1
2024-12-13T17:42:46,181,1271,31.36,548.8636364,24.62,1497,162.2,1,1
2024-12-13T17:42:47,181,1271,31.4,606.4454545,24.62,1497,162.2,1,1
2024-12-13T17:42:48,181,1271,31.4,487.04375,24.62,1497,150.75,1,1
2024-12-13T17:42:49,175,1258,31.4,579.334,24.62,1457,150.75,0,1
2024-12-13T17:42:50,175,1258,31.4,510.7141667,24.62,1457,132.9,1,1
2024-12-13T17:42:51,181,1271,31.4,543.311,24.62,1497,132.9,1,1
2024-12-13T17:42:52,181,1271,31.38,743.3075,24.62,1497,123.26,1,1
2024-12-13T17:42:53,177,1261,31.38,557.29,24.62,1466,114.08,1,1
2024-12-13T17:42:54,177,1261,31.4,507.5122222,24.64,1466,106.41,1,1
2024-12-13T17:42:55,172,1249,31.4,590.0372727,24.64,1429,99.79,1,1
2024-12-13T17:42:56,172,1249,31.4,546.1044444,24.62,1429,95.17,1,1
2024-12-13T17:42:57,174,1250,31.4,580.8477778,24.62,1433,93.36,1,1
2024-12-13T17:42:58,174,1250,31.42,470.5490909,24.62,1433,89.12,1,1
2024-12-13T17:42:59,171,1242,31.42,645.011,24.62,1408,86.5,1,1
2024-12-13T17:43:00,171,1242,31.42,641.86875,24.62,1408,86.75,0,1
2024-12-13T17:43:01,171,1242,31.42,600.6344444,24.61,1408,88.25,2,2
2024-12-13T17:43:02,173,1245,31.42,597.8577778,24.61,1417,83.19,2,2
2024-12-13T17:43:03,173,1245,31.42,757.349,24.61,1417,74.08,2,2
2024-12-13T17:43:04,169,1234,31.42,500.44,24.61,1383,74.08,2,2
2024-12-13T17:43:05,169,1234,31.4,631.4485714,24.61,1383,78.01,2,2
2024-12-13T17:43:06,171,1238,31.4,596.1577778,24.61,1396,97.98,2,2
2024-12-13T17:43:07,171,1238,31.4,605.45,24.62,1396,110.65,0,2
2024-12-13T17:43:08,170,1235,31.4,487.707,24.62,1386,111.34,2,2
2024-12-13T17:43:09,170,1235,31.38,596.54,24.62,1386,109.15,2,2
2024-12-13T17:43:10,175,1248,31.38,553.869,24.62,1426,105.41,0,2
2024-12-13T17:43:11,175,1248,31.34,670.7057143,24.61,1426,99.48,2,2
2024-12-13T17:43:12,177,1255,31.34,635.1430769,24.61,1448,101.23,2,2
2024-12-13T17:43:13,177,1255,31.24,689.3688889,24.61,1448,99.92,2,2
2024-12-13T17:43:14,179,1261,31.24,450.0725,24.61,1466,95.74,2,2
2024-12-13T17:43:15,179,1261,31.24,768.63,24.61,1466,88.37,2,2
2024-12-13T17:43:16,179,1261,31.28,597.86,24.62,1466,79.51,2,2
2024-12-13T17:43:17,176,1257,31.26,632.2292308,24.62,1454,69.77,2,2
2024-12-13T17:43:18,176,1257,31.26,553.1642857,24.62,1454,73.89,2,2
2024-12-13T17:43:19,173,1251,31.26,590.6055556,24.62,1436,72.21,2,2
2024-12-13T17:43:20,173,1251,31.21,666.7141667,24.61,1436,72.21,2,2
2024-12-13T17:43:21,174,1253,31.21,558.0575,24.61,1442,68.15,2,2
2024-12-13T17:43:22,174,1253,31.26,701.584,24.62,1442,63.34,2,2
2024-12-13T17:43:23,177,1260,31.26,718.7707143,24.62,1463,57.98,2,2
2024-12-13T17:43:24,177,1260,31.27,494.7077778,24.59,1463,53.98,2,2
2024-12-13T17:43:25,178,1263,31.27,627.18,24.59,1472,50.3,2,2
2024-12-13T17:43:26,178,1263,31.24,630.988,24.61,1472,42.94,2,2
2024-12-13T17:43:27,176,1258,31.24,491.655,24.61,1457,33.51,2,2
2024-12-13T17:43:28,176,1258,31.24,402.932,24.61,1457,31.64,2,2
2024-12-13T17:43:29,177,1263,31.21,687.1983333,24.61,1472,37.51,0,2
2024-12-13T17:43:30,177,1263,31.29,697.712,24.59,1472,40.32,2,2
2024-12-13T17:43:31,177,1263,31.29,562.7925,24.59,1472,45.93,2,2
2024-12-13T17:43:32,177,1263,31.29,700.9211111,24.59,1472,47.87,2,2
2024-12-13T17:43:33,177,1263,31.29,567.6918182,24.59,1472,47.87,2,2
2024-12-13T17:43:34,173,1253,31.29,614.1325,24.59,1442,49.3,2,2
2024-12-13T17:43:35,173,1253,31.26,690.4225,24.61,1442,49.3,2,2
2024-12-13T17:43:36,173,1251,31.26,380.932,24.61,1436,53.48,2,2
2024-12-13T17:43:37,173,1251,31.27,772.8945455,24.58,1436,59.97,2,2
2024-12-13T17:43:38,176,1258,31.27,491.3058333,24.58,1457,66.28,2,2
2024-12-13T17:43:39,176,1258,31.29,688.769,24.61,1457,77.89,2,2
2024-12-13T17:43:40,177,1263,31.29,552.5885714,24.61,1472,86.25,2,2
2024-12-13T17:43:41,177,1263,31.29,611.2146154,24.59,1472,101.48,0,2
2024-12-13T17:43:42,178,1267,31.29,728.0385714,24.59,1485,117.02,2,2
2024-12-13T17:43:43,178,1267,31.29,603.48875,24.59,1485,132.81,2,2
2024-12-13T17:43:44,179,1270,31.32,603.7064286,24.61,1494,148.84,2,2
2024-12-13T17:43:45,179,1270,31.29,374.564,24.59,1494,163.45,2,2
2024-12-13T17:43:46,179,1270,31.29,672.6628571,24.59,1494,167.19,2,2
2024-12-13T17:43:47,174,1259,31.29,577.883,24.59,1460,172.69,2,2
2024-12-13T17:43:48,175,1260,31.29,701.4672727,24.61,1463,189.16,2,2
2024-12-13T17:43:49,175,1260,31.29,530.416,24.61,1463,186.17,0,2
2024-12-13T17:43:50,175,1260,31.32,587.151,24.61,1463,186.17,2,2
2024-12-13T17:43:51,173,1254,31.32,672.49,24.61,1445,193.715,2,2
2024-12-13T17:43:52,173,1254,31.35,518.6081818,24.59,1445,191.97,2,2
2024-12-13T17:43:53,171,1246,31.35,486.0244444,24.59,1420,191.97,2,2
2024-12-13T17:43:54,171,1246,31.32,682.4172727,24.61,1420,185.48,2,2
2024-12-13T17:43:55,174,1252,31.32,523.2722222,24.61,1439,179.49,2,2
2024-12-13T17:43:56,174,1252,31.35,768.871,24.59,1439,177.49,2,2
2024-12-13T17:43:57,172,1248,31.35,541.9036364,24.59,1426,168.5,2,2
2024-12-13T17:43:58,172,1248,31.35,776.366,24.59,1426,154.96,2,2
2024-12-13T17:43:59,172,1248,31.35,520.6581818,24.58,1426,150.09,2,2
2024-12-13T17:44:00,172,1248,31.35,520.6581818,24.58,1426,133.8,2,2
2024-12-13T17:44:01,167,1233,31.33,701.022381,24.58,1380,129.5,0,2
2024-12-13T17:44:02,167,1232,31.33,452.9844444,24.58,1377,134.3,2,2
2024-12-13T17:44:03,167,1232,31.37,414.213,24.58,1377,143.54,2,2
2024-12-13T17:44:04,172,1241,31.37,432.8936364,24.58,1405,156.9,2,2
